,2022 Ranking,company_name,CEO,salary,median_worker_pay,Total Employees,Year Founded,Revenue (Billions),Profits (Billions),Assets (Billions),Market Value (Billions),Industry,industry,CEO Salary to Worker Pay Ratio
173,727,Digital Realty Trust,Arthur William Stein,"$17,139,601 ","$122,276 ",3030,2004,4.77,2.05,36.37,42.6,Diversified Financials,Real%20Estate,14017.14
174,730,Simon Property Group,David E. Simon,"$10,475,192 ","$64,069 ",3300,1993,5.12,2.25,33.78,41.33,Diversified Financials,Real%20Estate,16349.86
175,737,CenterPoint Energy,David J. Lesar,"$37,809,810 ","$103,170 ",12901,1882,8.35,1.49,38.48,20.04,Utilities,Utilities,36648.07
176,750,NRG Energy,Mauricio Gutierrez,"$10,854,224 ","$126,289 ",6635,1989,26.9,2.19,23.18,9.18,Utilities,Utilities,8594.75
177,757,Omnicom Group,John D. Wren,"$19,981,715 ","$50,612 ",71700,1986,14.27,1.29,26.15,16.35,Media,Communication%20Services,39480.19
178,759,Cheniere Energy,Jack A. Fusco,"$18,091,084 ","$221,659 ",1550,1983,17.64,-2.34,43.11,34.52,Oil & Gas Operations,Energy,8161.67
179,775,Baker Hughes Company,Lorenzo Simonelli,"$15,646,452 ","$69,701 ",54000,1987,20.59,0.31,34.99,31.15,Oil & Gas Operations,Energy,22447.96
180,777,Everest Re Group,Juan C. Andrade,"$8,866,126 ","$151,276 ",1947,1999,11.87,1.36,35.62,12.67,Insurance,Financials,5860.89
181,778,Amphenol,Richard Adam Norwitt,"$13,092,697 ","$16,042 ",90000,1932,10.88,1.59,14.68,41.49,Technology Hardware & Equipment,Information%20Technology,81615.12
182,779,American Airlines Group,Robert Isom,"$7,238,011 ","$62,765 ",123400,1926,34.77,-2.38,67.4,13.1,Transportation,Industrials,11531.92
183,780,KLA,Richard P. Wallace,"$20,568,625 ","$105,278 ",11300,1997,8.16,2.99,11.68,48.87,Semiconductors,Information%20Technology,19537.44
184,790,Zoetis,Kristin C. Peck,"$13,098,491 ","$81,497 ",12100,1952,7.78,2.04,13.9,85.74,Drugs & Biotechnology,Health%20Care,16072.36
185,798,Whirlpool,Marc R. Bitzer,"$18,751,901 ","$27,128 ",69000,1911,21.98,1.78,20.28,10.16,Consumer Durables,Consumer%20Discretionary,69123.79
186,812,Apollo Global Management,Marc Jeffrey Rowan,"$302,310 ","$215,817 ",1729],1990,4.83,1.83,30.5,30.79,Diversified Financials,Financials,140.08
187,813,United Rentals,Matthew John Flannery,"$12,716,100 ","$83,417 ",20400,1997,9.72,1.39,20.85,22.72,Business Services & Supplies,Industrials,15244.02
188,814,Diamondback Energy,Travis D. Stice,"$13,839,995 ","$108,354 ",870,2007,6.8,2.18,22.9,23.08,Oil & Gas Operations,Energy,12772.94
189,815,Otis Worldwide,Judith F. Marks,"$13,770,306 ","$49,941 ",70000,1853,14.3,1.25,12.28,31.04,Construction,Industrials,27573.15
190,817,Ball,Daniel W. Fisher,"$13,924,380 ","$131,452 ",24300,1880,13.93,0.88,19.71,27.77,Materials,Materials,10592.75
191,832,CMS Energy,Garrick J. Rochow,"$6,871,068 ","$135,987 ",9778,1987,7.4,1.35,28.75,20.82,Utilities,Utilities,5052.74
192,843,CDW,Christine A. Leahy,"$8,943,903 ","$103,536 ",15000,1984,20.82,0.99,13.2,22.9,IT Software & Services,Information%20Technology,8638.45
193,844,The Hershey Company,Michele Buck,"$16,144,570 ","$36,149 ",18990,1894,8.97,1.48,10.41,46.07,"Food, Drink & Tobacco",Consumer%20Staples,44661.18
194,855,Public Storage,Joseph D. Russell Jr.,"$10,358,153 ","$28,787 ",5800,1972,3.42,1.88,17.38,70.56,Diversified Financials,Real%20Estate,35982.05
195,858,Signature Bank,Joseph J. DePaolo,"$8,975,851 ","$115,807 ",1854,2000,2.48,1.07,121.85,14.95,Banking,Financials,7750.7
196,860,International Flavors & Fragrances,Franklin K. Clyburn,"$9,767,380 ","$66,105 ",24000,1833,11.66,0.27,39.66,31.74,Household & Personal Products,Materials,14775.55
197,862,Roper Technologies,Laurence Neil Hunn,"$21,532,055 ","$98,550 ",19300,1981,6.09,1.1,23.71,47.95,Conglomerates,Information%20Technology,21848.86
198,866,Franklin Resources,Jennifer M. Johnson,"$15,734,999 ","$126,915 ",10300,1947,8.72,1.86,25.0,13.25,Diversified Financials,Financials,12398.06
199,870,Ameren,Martin J. Lyons JR.,"$9,807,836 ","$132,415 ",9116,1902,6.39,0.99,35.74,25.0,Utilities,Utilities,7406.89
200,875,Conagra Brands,Sean M. Connolly,"$11,947,054 ","$57,855 ",18600,1919,11.36,1.04,22.5,17.33,"Food, Drink & Tobacco",Consumer%20Staples,20649.99
201,900,Annaly Capital Management,David L. Finkelstein,"$9,138,764 ","$365,000 ",171,1996,0.73,2.39,76.76,9.53,Diversified Financials,Financials,2503.77
202,910,Avis Budget Group,Joseph A. Ferraro,"$8,594,555 ","$29,628 ",21000,1946,9.31,1.28,22.6,16.03,Business Services & Supplies,Industrials,29008.22
203,927,Viatris,Michael Goettler,"$14,669,592 ","$36,865 ",37000,1961,17.86,-1.27,54.84,12.43,Drugs & Biotechnology,Health%20Care,39792.74
204,930,VF,Steven E. Rendle,"$15,423,154 ","$26,784 ",40000,1899,11.62,1.4,13.54,21.23,Household & Personal Products,Consumer%20Discretionary,57583.46
205,931,Intuitive Surgical,Gary S. Guthart,"$8,059,409 ","$140,163 ",9793,1995,5.91,1.64,13.68,90.64,Health Care Equipment & Services,Health%20Care,5750.03
206,937,Builders FirstSource,David E. Flitman,"$10,129,559 ","$61,301 ",28000,1998,19.89,1.73,10.71,10.86,Construction,Industrials,16524.3
207,946,Alexandria Real Estate Equities,"Peter M. Moglia, Stephen A. Richardson","$8,320,228 ","$176,113 ",559,1994,2.11,0.98,30.22,31.96,Diversified Financials,Real%20Estate,4724.37
208,951,Motorola Solutions,Gregory Q. Brown,"$19,980,639 ","$82,965 ",18700,2011,8.17,1.25,12.19,37.7,Aerospace & Defense,Information%20Technology,24083.21
209,960,Voya Financial,Rodney Owen Martin Jr.,"$16,030,105 ","$121,489 ",6000,1999,4.23,2.11,158.53,7.04,Insurance,Financials,13194.7
210,963,Equity Residential,Mark J. Parrell,"$8,490,527 ","$62,996 ",2400,1993,2.43,1.33,21.17,34.26,Diversified Financials,Real%20Estate,13477.88
211,965,Hormel Foods,Jim Snee,"$9,478,102 ","$50,369 ",20000,1891,11.97,0.93,12.83,29.2,"Food, Drink & Tobacco",Consumer%20Staples,18817.33
212,975,Macy's,Jeffrey Gennette,"$12,290,931 ","$28,037 ",88857,1929,25.29,1.43,18.85,6.91,Retailing,Consumer%20Discretionary,43838.25
213,976,Cintas,Scott D. Farmer,"$7,777,100 ","$53,321 ",40000,1968,7.62,1.2,8.17,41.75,Business Services & Supplies,Industrials,14585.44
214,984,Arrow Electronics,Michael J. Long,"$12,755,479 ","$66,172 ",20700,1946,34.48,1.11,19.54,7.57,Trading Companies,Information%20Technology,19276.25
215,985,Tenet Healthcare,Saumya Sutaria,"$21,153,672 ","$55,245 ",101100,1967,19.45,0.96,26.65,7.98,Health Care Equipment & Services,Health%20Care,38290.65
216,994,Yum! Brands,David W. Gibbs,"$27,578,659 ","$13,082 ",36000,1997,6.58,1.58,5.97,35.28,"Hotels, Restaurants & Leisure",Consumer%20Discretionary,210813.78
217,997,First Horizon,Bryan Jordan,"$8,414,496 ","$61,465 ",7867,1864,3.14,0.96,88.66,12.21,Banking,Financials,13689.9
218,998,Molina Healthcare,Joseph M. Zubretsky,"$19,961,698 ","$71,916 ",14000,1980,27.77,0.66,12.22,19.08,Drugs & Biotechnology,Health%20Care,27756.96
219,1009,eBay,Jamie Iannone,"$21,685,102 ","$135,528 ",10800,1995,10.9,-2.18,26.63,31.24,Business Services & Supplies,Consumer%20Discretionary,16000.46
220,1010,Edwards Lifesciences,Michael A. Mussallem,"$13,613,305 ","$73,036 ",15700,1958,5.23,1.5,8.5,73.55,Health Care Equipment & Services,Health%20Care,18639.17
221,1012,Constellation Brands,William A. Newlands Jr.,"$12,040,281 ","$35,606 ",10000,1945,8.82,-0.04,25.86,46.99,"Food, Drink & Tobacco",Consumer%20Staples,33815.31
222,1029,American Financial Group,"Carl Henry Lindner, III, S. Craig Lindner, Jr.","$12,449,582 ","$71,738 ",6600,1959,6.21,2.0,24.88,12.28,Insurance,Financials,17354.24
223,1031,Invesco,Martin Flanagan,"$12,897,752 ","$187,854 ",8513,1935,7.01,1.63,32.69,9.38,Diversified Financials,Financials,6865.84
224,1037,Bio-Rad Laboratories,Norman D. Schwartz,"$8,695,925 ","$78,820 ",7900,1952,2.92,4.25,17.78,15.99,Health Care Equipment & Services,Health%20Care,11032.64
225,1043,TD SYNNEX,Richard T. Hume,"$9,529,362 ","$56,410 ",27000,1980,42.14,0.44,28.72,9.61,Trading Companies,Information%20Technology,16893.04
226,1045,PulteGroup,Ryan R. Marshall,"$16,149,555 ","$136,630 ",6182,1950,13.93,1.93,13.35,10.12,Construction,Consumer%20Discretionary,11819.92
227,1048,Equinix,Charles J. Meyers,"$23,248,193 ","$122,075 ",10944,1998,6.64,0.5,27.92,67.84,Diversified Financials,Real%20Estate,19044.19
228,1067,Celanese,Lori J. Ryerkerk,"$12,570,992 ","$90,427 ",8529,1918,8.54,1.89,11.98,15.42,Chemicals,Materials,13901.81
229,1069,AvalonBay Communities,Benjamin W. Schall,"$14,371,460 ","$79,313 ",2927,1978,2.33,1.0,19.9,35.58,Diversified Financials,Real%20Estate,18119.93
230,1076,Agilent Technologies,Michael R. McMullen,"$15,967,631 ","$82,890 ",17000,1999,6.44,1.2,10.33,36.41,Drugs & Biotechnology,Health%20Care,19263.64
231,1087,LKQ,Dominick Paul Zarcone,"$9,445,636 ","$38,982 ",46000,1998,13.09,1.09,12.61,14.07,Consumer Durables,Consumer%20Discretionary,24230.76
232,1090,Lithia Motors,Bryan B. DeBoer,"$10,532,359 ","$56,825 ",21150,1946,25.19,1.25,12.08,8.53,Retailing,Consumer%20Discretionary,18534.73
233,1100,Paychex,Martin Mucci,"$11,025,026 ","$56,960 ",15000,1971,4.5,1.36,10.28,47.42,Business Services & Supplies,Information%20Technology,19355.73
234,1101,Genworth Financial,Thomas J. McInerney,"$8,499,379 ","$104,888 ",2500,1871,7.83,0.9,83.2,1.95,Insurance,Financials,8103.29
235,1101,Monster Beverage,Rodney Cyril Sacks,"$16,707,577 ","$69,417 ",4092,1985,5.54,1.38,7.86,45.34,"Food, Drink & Tobacco",Consumer%20Staples,24068.42
236,1104,Ovintiv,Brendan M. McCracken,"$8,630,387 ","$171,140 ",1713,1881,10.54,1.42,14.06,13.01,Oil & Gas Operations,Energy,5042.88
237,1106,AutoNation,Michael Mark Manley,"$8,513,663 ","$64,057 ",22200,1991,26.69,1.5,9.36,6.53,Retailing,Consumer%20Discretionary,13290.76
238,1108,Chesapeake Energy,Domenic J. Dell’Osso Jr.,"$7,688,937 ","$133,645 ",1300,1989,7.32,6.33,11.01,11.08,Oil & Gas Operations,Energy,5753.25
239,1109,J.B. Hunt Transport Services,John N. Roberts,"$8,801,881 ","$78,560 ",33045,1961,13.04,0.86,7.03,17.76,Transportation,Industrials,11204.02
240,1112,Realty Income,Sumit Roy,"$12,861,011 ","$136,304 ",371,1969,2.08,0.35,43.14,43.97,Diversified Financials,Real%20Estate,9435.53
241,1121,Rockwell Automation,Blake Moret,"$10,987,704 ","$61,470 ",24500,1903,7.29,1.0,10.74,30.27,Capital Goods,Industrials,17874.9
242,1128,Bath & Body Works,Andrew Meslow,"$17,668,627 ","$10,632 ",56900,1990,11.05,1.33,6.03,12.74,Retailing,Consumer%20Discretionary,166183.47
243,1134,Dover,Richard Joseph Tobin,"$14,085,860 ","$48,794 ",25000,1955,8.09,1.12,10.5,20.61,Conglomerates,Industrials,28868.02
244,1135,East West Bancorp,Dominic Ng,"$8,649,172 ","$107,255 ",3100,1998,1.91,0.91,62.24,11.02,Banking,Financials,8064.12
245,1139,Ulta Beauty,Dave Kimbell,"$8,539,767 ","$13,403 ",40500,1990,8.63,0.99,5.34,21.23,Retailing,Consumer%20Discretionary,63715.34
246,1153,Altice USA,Dexter G. Goei,"$38,333,508 ","$79,575 ",9000,2001,10.09,0.99,34.04,5.13,Media,Communication%20Services,48172.8
247,1155,DaVita,Javier J. Rodriguez,"$3,298,439 ","$67,535 ",69000,2000,11.62,0.98,17.87,10.73,Health Care Equipment & Services,Health%20Care,4884.04
248,1162,Darden Restaurants,Gene Lee,"$11,891,842 ","$21,931 ",156883,1968,9.31,1.04,10.2,16.72,"Hotels, Restaurants & Leisure",Consumer%20Discretionary,54223.89
249,1163,Hess,John B. Hess,"$12,408,198 ","$197,547 ",1545,1920,7.72,0.56,20.52,32.97,Oil & Gas Operations,Energy,6281.14
250,1169,Welltower,Shankh Mitra,"$12,753,710 ","$100,206 ",464,1970,4.73,0.34,34.91,43.1,Diversified Financials,Real%20Estate,12727.49
251,1172,Caesars Entertainment,Tom Reeg,"$22,576,517 ","$35,618 ",49000,1937,9.48,-1.02,38.03,14.26,"Hotels, Restaurants & Leisure",Consumer%20Discretionary,63385.13
252,1174,Textron,Scott C. Donnelly,"$18,576,014 ","$102,647 ",33000,1923,12.38,0.75,15.83,14.69,Conglomerates,Industrials,18096.99
253,1184,Zoom Video Communications,Eric S. Yuan,"$1,115,089 ","$188,261 ",6787,2011,4.1,1.38,7.55,29.96,IT Software & Services,Information%20Technology,592.31
254,1186,NVR,Eugene James Bredow,"$4,162,400 ","$71,417 ",6600,0,8.74,1.24,5.83,14.39,Construction,Consumer%20Discretionary,5828.3
255,1187,Evergy,David A. Campbell,"$11,138,082 ","$133,369 ",4930,1909,5.59,0.88,28.52,16.36,Utilities,Utilities,8351.33
256,1197,Targa Resources,Matthew J. Meloy,"$14,691,940 ","$124,880 ",2430,2005,17.44,0.07,16.41,17.39,Oil & Gas Operations,Energy,11764.85
257,1200,Expedia Group,Peter M. Kern,"$296,247,749 ","$102,270 ",14800,1996,8.6,0.01,21.55,28.29,Business Services & Supplies,Consumer%20Discretionary,289672.19
258,1205,Leidos,Roger Krone,"$12,876,007 ","$95,935 ",43000,1969,13.74,0.75,13.26,14.76,Aerospace & Defense,Industrials,13421.59
259,1221,VICI Properties,Edward Baltazar Pitoniak,"$7,662,894 ","$28,107 ",152,2016,1.51,1.01,17.6,22.21,Diversified Financials,Real%20Estate,27263.29
260,1222,Chipotle Mexican Grill,Brian R. Niccol,"$17,880,580 ","$15,811 ",97660,1993,7.55,0.65,7.64,41.49,"Hotels, Restaurants & Leisure",Consumer%20Discretionary,113089.49
261,1227,Old Republic International,Craig R. Smiddy,"$2,392,292 ","$84,077 ",9600,1887,9.34,1.53,20.38,7.34,Insurance,Financials,2845.36
262,1229,Zimmer Biomet,Bryan C. Hanson,"$14,981,058 ","$63,981 ",19500,1927,7.84,0.4,23.46,26.31,Health Care Equipment & Services,Health%20Care,23414.85
263,1230,Alcoa,Roy Harvey,"$15,960,369 ","$102,645 ",12200,1888,12.82,0.72,15.99,12.42,Materials,Materials,15549.1
264,1238,Illumina,Francis A. deSouza,"$14,333,634 ","$115,398 ",9800,1998,4.53,0.76,15.22,50.69,Drugs & Biotechnology,Health%20Care,12421.04
265,1238,Synopsys,Dr. Aart de Geus,"$9,976,485 ","$98,215 ",16361,1986,4.5,0.91,8.9,43.63,IT Software & Services,Information%20Technology,10157.8
266,1254,Hologic,Stephen P. MacMillan,"$14,748,400 ","$89,791 ",6705,1985,5.49,1.72,9.28,18.58,Health Care Equipment & Services,Health%20Care,16425.25
267,1259,Old Dominion Freight Line,Greg C. Gantt,"$10,577,833 ","$72,726 ",23663,1934,5.26,1.03,4.82,30.9,Transportation,Industrials,14544.77
268,1273,Copart,Aaron Jayson Adair,"$31,033,606 ","$41,662 ",8600,1982,3.16,1.09,5.14,27.58,Business Services & Supplies,Industrials,74489.0
269,1273,Dick's Sporting Goods,Lauren R. Hobart,"$9,566,005 ","$10,495 ",50800,1948,12.29,1.52,9.04,7.96,Retailing,Consumer%20Discretionary,91148.21
270,1276,Universal Health Services,Marc D. Miller,"$14,020,942 ","$45,454 ",89400,1979,12.64,0.99,13.09,9.9,Health Care Equipment & Services,Health%20Care,30846.44
271,1284,Popular,Ignacio Alvarez,"$5,091,629 ","$40,826 ",8351,1893,2.76,0.93,75.1,6.08,Banking,Financials,12471.54
272,1289,Frontier Communications Parent,Nicholas Simon Jeffery,"$17,209,584 ","$80,800 ",15600,0,6.41,4.96,17.14,6.71,Telecommunications Services,Communication%20Services,21298.99
273,1305,PPL,Vincent Sorgi,"$11,356,481 ","$147,670 ",5607,1994,5.78,0.13,33.22,21.99,Utilities,Utilities,7690.45
274,1311,Marvell Technology,Matthew J. Murphy,"$15,510,223 ","$167,829 ",6729,1995,4.46,-0.42,22.11,49.54,Semiconductors,Information%20Technology,9241.68
275,1312,Skyworks Solutions,Liam K. Griffin,"$16,150,421 ","$17,409 ",11000,2002,5.11,1.39,8.62,18.61,Semiconductors,Information%20Technology,92770.53
276,1313,Arista Networks,Jayshree V. Ullal,"$15,993,632 ","$190,816 ",2993,2004,2.95,0.84,5.73,36.22,Technology Hardware & Equipment,Information%20Technology,8381.7
277,1315,Electronic Arts,Andrew P. Wilson,"$19,858,539 ","$115,569 ",11000,1982,6.56,0.64,13.93,36.02,Consumer Durables,Communication%20Services,17183.27
278,1317,Brighthouse Financial,Eric Thomas Steigerwalt,"$7,914,025 ","$132,963 ",1500,1863,7.14,-0.11,261.3,4.1,Insurance,Financials,5952.05
279,1325,APA,John J. Christmann IV,"$15,040,707 ","$174,903 ",2253,1954,7.98,0.97,13.3,14.12,Oil & Gas Operations,Energy,8599.46
280,1335,Marathon Oil,Lee M. Tillman,"$12,997,292 ","$128,010 ",1531,1887,5.6,0.95,16.99,17.96,Oil & Gas Operations,Energy,10153.34
281,1340,Keysight Technologies,Ron Nersesian,"$18,566,410 ","$77,082 ",14300,2014,5.01,0.95,7.73,26.44,Technology Hardware & Equipment,Information%20Technology,24086.57
282,1341,StoneX Group,Sean Michael O'Connor,"$4,748,563 ","$84,188 ",3242,0,47.62,0.13,19.23,1.39,Diversified Financials,Financials,5640.43
283,1344,Garmin,Clifton Albert Pemble,"$4,238,341 ","$38,118 ",18700,1989,4.98,1.08,7.85,21.3,Technology Hardware & Equipment,Consumer%20Discretionary,11119.0
284,1350,IDEXX Laboratories,Jay Mazelsky,"$9,065,021 ","$67,638 ",10350,1983,3.22,0.74,2.44,39.89,Health Care Equipment & Services,Health%20Care,13402.26
285,1363,Brown-Forman,Lawson Whiting,"$8,364,936 ","$61,040 ",4700,1870,3.74,0.81,6.23,32.09,"Food, Drink & Tobacco",Consumer%20Staples,13704.02
286,1364,Assurant,Alan B. Colberg,"$11,504,780 ","$44,558 ",15600,1892,10.19,0.45,27.73,10.77,Insurance,Financials,25819.79
287,1373,NetApp,George Kurian,"$18,883,551 ","$206,477 ",11000,1992,6.19,1.01,9.5,16.92,Technology Hardware & Equipment,Information%20Technology,9145.6
288,1376,Royal Caribbean Group,Jason Liberty,"$15,812,027 ","$14,706 ",50000,1997,1.53,-5.26,32.26,20.82,"Hotels, Restaurants & Leisure",Consumer%20Discretionary,107520.92
289,1378,Extra Space Storage,Joseph D. Margolis,"$7,315,982 ","$43,361 ",4309,2004,1.61,0.86,10.47,28.54,Diversified Financials,Real%20Estate,16872.26
290,1383,AGCO,Eric P. Hansotia,"$11,181,748 ","$53,354 ",23300,1990,11.14,0.9,9.18,10.05,Capital Goods,Industrials,20957.66
291,1389,MSCI,Henry A. Fernandez,"$10,338,312 ","$58,415 ",3633,1998,2.04,0.73,5.51,37.06,Business Services & Supplies,Financials,17698.04
292,1398,First American Financial,Kenneth David DeGiorgio,"$10,791,103 ","$57,046 ",22233,0,9.22,1.24,16.45,6.54,Insurance,Financials,18916.49
293,1405,Berry Global Group,Thomas E. Salmon,"$11,498,501 ","$46,842 ",47000,1967,14.29,0.72,17.34,7.78,Materials,Materials,24547.42
294,1407,PerkinElmer,Prahlad Ramadhar Singh,"$9,661,006 ","$52,960 ",16700,1947,5.07,0.93,15.0,19.25,Health Care Equipment & Services,Health%20Care,18242.08
295,1408,Navient,John F. Remondi,"$7,883,966 ","$42,587 ",6195,2013,3.49,0.72,80.6,2.5,Diversified Financials,Financials,18512.61
296,1412,Quanta Services,Earl C. Austin Jr.,"$10,967,217 ","$106,665 ",43700,1997,12.98,0.49,12.86,17.2,Construction,Industrials,10281.93
297,1417,Liberty Broadband,Gregory Ben Maffei,"$18,018,126 ","$84,277 ",1900,1991,0.99,0.73,17.19,20.82,Telecommunications Services,Communication%20Services,21379.65
298,1422,AGNC Investment,Peter J. Federico,"$6,949,900 ","$281,305 ",50,2008,1.97,0.75,68.15,6.06,Diversified Financials,Financials,2470.59
299,1424,Westinghouse Air Brake Technologies,Rafael O. Santana,"$11,027,238 ","$45,266 ",25000,1869,7.82,0.56,18.45,16.52,Capital Goods,Industrials,24360.97
300,1431,Henry Schein,Stanley M. Bergman,"$10,786,180 ","$72,625 ",21600,1932,12.4,0.62,8.48,12.05,Health Care Equipment & Services,Health%20Care,14851.88
301,1434,Mettler-Toledo International,Patrick K. Kaltenbach,"$11,811,322 ","$51,436 ",17800,1991,3.72,0.77,3.33,29.21,Conglomerates,Health%20Care,22963.14
302,1437,Thor Industries,Robert W. Martin,"$15,866,718 ","$54,701 ",31000,1980,14.88,0.92,7.66,4.25,Consumer Durables,Consumer%20Discretionary,29006.27
303,1438,Williams-Sonoma,Laura Alber,"$21,324,327 ","$24,866 ",21000,1956,8.25,1.13,4.63,9.68,Retailing,Consumer%20Discretionary,85756.97
304,1443,Olin,Scott McDougald Sutton,"$10,105,293 ","$93,832 ",7750,1892,8.91,1.3,8.52,8.46,Chemicals,Materials,10769.56
305,1444,Kimco Realty,Conor C. Flynn,"$10,488,138 ","$108,000 ",606,1973,1.36,0.84,18.46,15.72,Diversified Financials,Real%20Estate,9711.24
306,1445,Fortinet,Ken Xie,"$14,203,211 ","$202,875 ",10195,2000,3.34,0.61,5.92,48.93,Technology Hardware & Equipment,Information%20Technology,7000.97
307,1447,Church & Dwight,Matthew T. Farrell,"$8,889,526 ","$73,466 ",5100,1846,5.19,0.83,8.0,24.95,Household & Personal Products,Consumer%20Staples,12100.19
308,1449,ServiceNow,William R. McDermott,"$165,802,037 ","$233,859 ",16881,2004,5.9,0.23,10.8,94.28,IT Software & Services,Information%20Technology,70898.29
309,1450,Align Technology,Joseph M. Hogan,"$21,591,400 ","$13,011 ",22540,1997,3.95,0.77,5.94,28.42,Health Care Equipment & Services,Health%20Care,165947.28
310,1451,Mohawk Industries,Jeffrey Lorberbaum,"$5,190,696 ","$36,391 ",43000,1878,11.2,1.03,14.22,7.88,Consumer Durables,Consumer%20Discretionary,14263.68
311,1452,SS&C Technologies,William Charles Stone,"$22,981,889 ","$67,434 ",24900,1986,5.05,0.8,17.33,17.52,IT Software & Services,Information%20Technology,34080.57
312,1454,Advance Auto Parts,Thomas R. Greco,"$10,052,271 ","$24,960 ",41000,1932,11.0,0.62,12.19,13.34,Retailing,Consumer%20Discretionary,40273.52
313,1462,UGI,Roger Perreault,"$6,060,694 ","$71,717 ",5800,1882,8.7,1.07,16.8,7.68,Oil & Gas Operations,Utilities,8450.85
314,1464,Teradyne,Mark E. Jagiela,"$10,954,713 ","$128,299 ",5900,1960,3.7,1.02,3.81,17.65,Semiconductors,Information%20Technology,8538.42
315,1465,Avery Dennison,Mitchell R. Butier,"$12,433,721 ","$15,256 ",36000,1990,8.41,0.74,7.97,13.79,Materials,Materials,81500.53
316,1474,Verisk Analytics,Scott G. Stephenson,"$12,796,321 ","$72,679 ",9367,1971,3.0,0.67,7.81,33.43,Insurance,Industrials,17606.63
317,1476,Ventas,Debra A. Cafaro,"$14,263,728 ","$111,261 ",434,1983,3.83,0.05,24.72,23.37,Diversified Financials,Real%20Estate,12820.06
318,1479,Gartner,Eugene A. Hall,"$14,096,168 ","$118,762 ",16600,1979,4.73,0.79,7.42,24.14,Business Services & Supplies,Information%20Technology,11869.26
319,1480,SLM,Jonathan W. Witter,"$7,047,062 ","$88,566 ",1450,1972,2.34,1.16,29.22,4.67,Business Services & Supplies,Financials,7956.85
320,1481,Atmos Energy,Kevin Akers,"$4,839,562 ","$81,388 ",4684,1906,3.51,0.7,20.55,16.08,Oil & Gas Operations,Utilities,5946.28
321,1488,Equifax,Mark Begor,"$16,065,575 ","$90,330 ",12700,1899,5.07,0.76,11.39,25.02,Business Services & Supplies,Industrials,17785.43
322,1492,Globe Life,Gary L. Coleman Larry M. Hutchison,"$8,353,754 ","$56,843 ",3222,1951,5.16,0.73,29.77,10.26,Insurance,Financials,14696.19
323,1500,BorgWarner,Frédéric B. Lissdale,"$17,592,090 ","$31,740 ",49300,1928,14.84,0.54,16.58,9.09,Consumer Durables,Consumer%20Discretionary,55425.61
324,1504,Zebra Technologies,Anders Gustafsson,"$13,589,616 ","$60,450 ",9800,1969,5.62,0.84,6.22,20.06,Technology Hardware & Equipment,Information%20Technology,22480.75
325,1505,VeriSign,D. James Bidzos,"$10,118,313 ","$201,444 ",904,1995,1.33,0.78,1.98,22.59,IT Software & Services,Information%20Technology,5022.89
326,1510,Incyte,Herve Hoppenot,"$14,444,265 ","$248,810 ",2094,1991,2.99,0.95,4.97,16.95,Drugs & Biotechnology,Health%20Care,5805.34
327,1513,Performance Food Group,George L. Holm,"$8,660,511 ","$80,079 ",23000,1885,39.73,0.04,12.22,8.13,Food Markets,Consumer%20Staples,10814.96
328,1515,Martin Marietta Materials,C. Howard Nye,"$14,939,587 ","$90,423 ",10000,1993,5.41,0.71,14.74,22.14,Construction,Materials,16521.89
329,1516,Boston Properties,Owen D. Thomas,"$12,894,537 ","$123,647 ",743,1970,2.89,0.51,22.36,21.77,Diversified Financials,Real%20Estate,10428.51
330,1529,Las Vegas Sands,Robert Glen Goldstein,"$31,204,900 ","$35,879 ",44700,1988,4.23,-0.96,20.06,27.81,"Hotels, Restaurants & Leisure",Consumer%20Discretionary,86972.6
331,1537,Alliant Energy,John O. Larsen,"$10,449,260 ","$110,610 ",3313,1981,3.67,0.67,19.25,15.83,Utilities,Utilities,9446.94
332,1542,Ingersoll Rand,Vicente Reynal,"$10,613,486 ","$51,757 ",16000,1872,5.39,0.76,15.15,18.74,Capital Goods,Industrials,20506.38
333,1561,EQT,Toby Z. Rice,"$16,919,763 ","$122,460 ",693,1888,6.84,-1.16,21.61,14.96,Oil & Gas Operations,Energy,13816.56
334,1562,West Pharmaceutical Services,Eric Mark Green,"$9,472,757 ","$57,357 ",10065,0,2.83,0.66,3.31,25.98,Drugs & Biotechnology,Health%20Care,16515.43
335,1571,Fortive,James A. Lico,"$16,598,719 ","$61,746 ",18000,2015,5.25,0.61,16.47,20.75,Technology Hardware & Equipment,Industrials,26882.26
336,1571,Rocket Companies,Jay Farner,"$1,603,475 ","$77,800 ",0,1985,10.0,0.31,32.78,1.05,Business Services & Supplies,Financials,2061.02
337,1581,Avantor,Michael Stubblefield,"$13,260,913 ","$40,456 ",13500,1904,7.39,0.57,13.9,18.32,Chemicals,Health%20Care,32778.61
338,1586,Palo Alto Networks,Nikesh Arora,"$10,410,477 ","$268,463 ",10473,2005,4.86,-0.46,10.4,56.29,Technology Hardware & Equipment,Information%20Technology,3877.81
339,1588,DXC Technology,Michael J. Salvino,"$28,716,680 ","$44,156 ",134000,2017,16.64,-0.61,19.95,7.2,Business Services & Supplies,Information%20Technology,65034.6
340,1592,Owens Corning,Brian D. Chambers,"$9,782,143 ","$64,753 ",20000,1938,8.5,1.0,10.02,8.46,Construction,Industrials,15106.86
